EEG,sec
-0.004416774491492187,35.528
-0.0044520468888964845,35.532
-0.004654827075564453,35.536
-0.00474889150165625,35.54
-0.004602316898910157,35.544
-0.004410639950128906,35.548
-0.0044684168478632815,35.552
-0.004660590666296875,35.556
-0.004742315514457031,35.56
-0.00458572135528711,35.564
-0.004420770840359375,35.568
-0.004464210958076172,35.572
-0.004665538457345703,35.576
-0.004744454679300782,35.58
-0.00458607917922461,35.584
-0.004398461781908203,35.588
-0.004478017808621094,35.592
-0.004684087933583984,35.596
-0.004734684530050781,35.6
-0.004574868983095703,35.604
-0.004398281411417969,35.608
-0.0044776551229453124,35.612
-0.0046788965694472655,35.616
-0.004731914797751953,35.62
-0.004563754563210938,35.624
-0.0044057504999394535,35.628
-0.004473762815277344,35.632
-0.004684252260337891,35.636
-0.004720537357826172,35.64
-0.0045497391440937505,35.644
-0.004396533130332032,35.648
-0.004485342017341797,35.652
-0.004697356589701172,35.656
-0.004710152684857422,35.66
